as_of_date,scenario_id,alias,capital_brl,market_state,nav_before_brl,nav_after_brl,cash_after_brl,order_count,fill_count,selected_assets
2023-01-02,hephaestus_200,Hephaestus,200.0,balanced,200.0,199.8,119.8,1,1,BTC-USD
2023-01-03,hephaestus_200,Hephaestus,200.0,balanced,199.81108387458187,199.81108387458187,119.8,0,0,BTC-USD
2023-01-04,hephaestus_200,Hephaestus,200.0,balanced,200.65163502144503,200.65163502144503,119.8,0,0,BTC-USD
2023-01-05,hephaestus_200,Hephaestus,200.0,balanced,200.56282007836683,200.56282007836683,119.8,0,0,BTC-USD
2023-01-06,hephaestus_200,Hephaestus,200.0,balanced,201.13284791400642,201.13284791400642,119.8,0,0,BTC-USD
2023-01-09,hephaestus_200,Hephaestus,200.0,balanced,202.22496942637952,202.22496942637952,119.8,0,0,BTC-USD
2023-01-10,hephaestus_200,Hephaestus,200.0,balanced,203.48402080745547,203.48402080745547,119.8,0,0,BTC-USD
2023-01-11,hephaestus_200,Hephaestus,200.0,balanced,205.8956032164828,205.8956032164828,119.8,0,0,BTC-USD
2023-01-12,hephaestus_200,Hephaestus,200.0,balanced,210.23011791011385,210.23011791011385,119.8,0,0,BTC-USD
2023-01-13,hephaestus_200,Hephaestus,200.0,balanced,215.42845508901587,215.42845508901587,119.8,0,0,BTC-USD
2023-01-16,hephaestus_200,Hephaestus,200.0,balanced,221.4532846474542,221.4532846474542,119.8,0,0,BTC-USD
2023-01-17,hephaestus_200,Hephaestus,200.0,balanced,221.20934344237077,221.20934344237077,119.8,0,0,BTC-USD
2023-01-18,hephaestus_200,Hephaestus,200.0,balanced,219.0149282037226,219.0149282037226,119.8,0,0,BTC-USD
2023-01-19,hephaestus_200,Hephaestus,200.0,balanced,220.90600034667096,220.90600034667096,119.8,0,0,BTC-USD
2023-01-20,hephaestus_200,Hephaestus,200.0,balanced,228.5621267364287,228.5621267364287,119.8,0,0,BTC-USD
2023-01-23,hephaestus_200,Hephaestus,200.0,balanced,229.7580336198867,229.7580336198867,119.8,0,0,BTC-USD
2023-01-24,hephaestus_200,Hephaestus,200.0,risk_on,228.39745202835505,228.39745202835505,119.8,0,0,BTC-USD
2023-01-25,hephaestus_200,Hephaestus,200.0,risk_on,230.45132757587626,230.45132757587626,119.8,0,0,BTC-USD
2023-01-26,hephaestus_200,Hephaestus,200.0,risk_on,230.20522717444567,230.20522717444567,119.8,0,0,BTC-USD
